prodact name,price,Rate,Link
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)","$1,250.00",4.1 out of 5 stars,https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_11?dchild=1&keywords=iphone&qid=1627731992&sr=8-11
"(Renewed) Apple iPhone 8, US Version, 64GB, Gold - GSM Carriers",$197.99,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-GSM-Unlocked-64GB/dp/B078P5BK5G/ref=sr_1_12?dchild=1&keywords=iphone&qid=1627731992&sr=8-12
"(Refurbished) Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked",$734.00,4.3 out of 5 stars,https://www.amazon.com/Apple-iPhone-256GB-Unlocked-Renewed/dp/B07ZQRL9XY/ref=sr_1_13?dchild=1&keywords=iphone&qid=1627731992&sr=8-13
"Apple iPhone 12 Pro Max, 128GB, Gold - Fully Unlocked (Renewed)","$1,350.00",4.3 out of 5 stars,https://www.amazon.com/Apple-iPhone-Pro-128GB-Gold/dp/B08PL87YMK/ref=sr_1_14?dchild=1&keywords=iphone&qid=1627731992&sr=8-14
"(Refurbished) Apple iPhone 7, 32GB, Silver - Fully Unlocked",$117.99,4.2 out of 5 stars,https://www.amazon.com/Apple-iPhone-Unlocked-Warranty-Renewed/dp/B07Q4LX4JP/ref=sr_1_15?dchild=1&keywords=iphone&qid=1627731992&sr=8-15
"Apple iPhone 12 Mini, 64GB, Blue - Fully Unlocked (Renewed)",$10.99,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-12-Mini-64GB/dp/B08PNN2SKF/ref=sr_1_16?dchild=1&keywords=iphone&qid=1627731992&sr=8-16
"(Renewed) Apple iPhone 8, US Version, 64GB, Space Gray - Unlocked",Currently unavailable.,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-GSM-Unlocked-64GB/dp/B0775MV9K2/ref=sr_1_1?dchild=1&keywords=iphone&qid=1627732036&sr=8-1
"(Refurbished) Apple iPhone 11 Pro Max, US Version, 64GB, Space Gray - Unlocked",$719.00,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-64GB-Space-Gray/dp/B07ZQSQSBM/ref=sr_1_2?dchild=1&keywords=iphone&qid=1627732036&sr=8-2
Simple Mobile Prepaid - Apple Iphone 11 (64GB) - Black [Locked to Carrier – Simple Mobile],$329.00,4.2 out of 5 stars,https://www.amazon.com/Simple-Mobile-Prepaid-Iphone-Carrier/dp/B07XSS3Z9J/ref=sr_1_3?dchild=1&keywords=iphone&qid=1627732036&sr=8-3
"(Refurbished) Apple iPhone SE (2nd Generation), US Version, 64GB, Black - Unlocked",Currently unavailable.,3.8 out of 5 stars,https://www.amazon.com/Apple-iPhone-SE-64GB-Black/dp/B088NQXD8T/ref=sr_1_4?dchild=1&keywords=iphone&qid=1627732036&sr=8-4
"(Renewed) Apple iPhone 7 a1778, GSM Unlocked, 32GB",Currently unavailable.,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-a1778-Unlocked-Renewed/dp/B079G8GR9J/ref=sr_1_5?dchild=1&keywords=iphone&qid=1627732036&sr=8-5
Total Wireless Apple iPhone 7 4G LTE Prepaid Smartphone - 32GB - Black - Carrier Locked,$133.95,4.2 out of 5 stars,https://www.amazon.com/Total-Wireless-iPhone-Prepaid-Smartphone/dp/B08CL482JL/ref=sr_1_6?dchild=1&keywords=iphone&qid=1627732036&sr=8-6
Tracfone Apple iPhone 7 4G LTE Prepaid Smartphone - 32GB - Black - Carrier Locked,$159.99,4.5 out of 5 stars,https://www.amazon.com/Tracfone-Apple-iPhone-Prepaid-Smartphone/dp/B08CL4CCG2/ref=sr_1_7?dchild=1&keywords=iphone&qid=1627732036&sr=8-7
"Xiaomi Mi 10T - Smartphone 6 GB + 128 GB, Dual Sim, Alexa Hands-Free, Nero (Cosmic Black)",$199.99,4.5 out of 5 stars,https://www.amazon.com/Xiaomi-DotDisplay-Battery-Unlocked-Smartphone/dp/B08HHCXBND/ref=sr_1_8?dchild=1&keywords=iphone&qid=1627732036&sr=8-8
"(Refurbished) Apple iPhone XR, US Version, 64GB, Black - Unlocked",$570.00,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=sr_1_9?dchild=1&keywords=iphone&qid=1627732036&sr=8-9
"(Refurbished) Apple iPhone 11, US Version, 64GB, Black - Unlocked",$349.00,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-11-64GB-Black/dp/B07ZPKN6YR/ref=sr_1_10?dchild=1&keywords=iphone&qid=1627732036&sr=8-10
"(Refurbished) Apple iPhone 7, 32GB, Black - Fully Unlocked","$1,250.00",4.1 out of 5 stars,https://www.amazon.com/Apple-iPhone-Unlocked-Quad-Core-Smartphone/dp/B01N4R20RS/ref=sr_1_11?dchild=1&keywords=iphone&qid=1627732036&sr=8-11
"Apple iPhone X, US Version, 64GB, Space Gray - GSM Carriers (Renewed)",$197.99,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-64GB/dp/B077578W38/ref=sr_1_12?dchild=1&keywords=iphone&qid=1627732036&sr=8-12
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",$734.00,4.3 out of 5 stars,https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_13?dchild=1&keywords=iphone&qid=1627732036&sr=8-13
"Apple iPhone X, US Version, 256GB, Silver - Unlocked (Renewed)","$1,350.00",4.3 out of 5 stars,https://www.amazon.com/Apple-iPhone-256GB-Silver-Unlocked/dp/B081TJ7B88/ref=sr_1_14?dchild=1&keywords=iphone&qid=1627732036&sr=8-14
"Apple iPhone 12 Mini, 64GB, Blue - Fully Unlocked (Renewed)",$117.99,4.2 out of 5 stars,https://www.amazon.com/Apple-iPhone-12-Mini-64GB/dp/B08PNN2SKF/ref=sr_1_15?dchild=1&keywords=iphone&qid=1627732036&sr=8-15
"(Renewed) Apple iPhone 8 Plus, US Version, 64GB, Gold - Unlocked",$10.99,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-Plus-Fully-Unlocked/dp/B07757LZ1J/ref=sr_1_16?dchild=1&keywords=iphone&qid=1627732036&sr=8-16
"EXCITRUS USB C Fast Charger 30W, High Speed USB C Charger, iPhone 12 Charger Adapter with 4FT MFI Certified C to Lightning Cable, Compatible with iPhone 12 Pro/Mini/Pro Max, iPad Pro, MacBook Pro/Air",$193.00,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02439411WRKGBQDMLL1W&url=%2FEXCITRUS-Charger-Certified-Lightning-Compatible%2Fdp%2FB08T1Z7K9V%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732036%26sr%3D8-17-spons%26psc%3D1&qualifier=1627732036&id=4647622056673503&widgetName=sp_btf
"mophie - Universal 3 in 1 Wireless Charging Stand - 7.5W Wireless Charging Stand for iPhone, AirPods Pro/AirPods, and Apple Watch - Black",$719.00,4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00000269HFQB8A2S4UC&url=%2Fmophie-Universal-Wireless-Charging-AirPods%2Fdp%2FB08NTVQ8HZ%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732036%26sr%3D8-18-spons%26psc%3D1&qualifier=1627732036&id=4647622056673503&widgetName=sp_btf
"Wireless Charger,Amugpill 3 in 1 Fast Wireless Charging Station Dock for iPhone 12/12 Pro/12 Pro Max/11/11 Pro/X/Xr/Xs/8 Plus,Apple Watch SE 6 5 4 3 2,Airpods 2/Pro,Qi Phones (with QC3.0 Adapter)",Currently unavailable.,3.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09807091YA7D9ZCFWVTQ&url=%2FWireless-Charger-Amugpill-Charging-Station%2Fdp%2FB092VMDYL9%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732036%26sr%3D8-19-spons%26psc%3D1%26smid%3DAUYTE854LOADP&qualifier=1627732036&id=4647622056673503&widgetName=sp_btf
"USB Flash Drive for iPhone Photo Stick 1TB Memory Stick USB 3.0 Flash Drive Memory Stick for Phone and Computers (1TB, Pink)",$294.00,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03055091JA95VA7W1UH8&url=%2FFlash-Drive-iPhone-Memory-Computers%2Fdp%2FB08YWMPYTH%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732036%26sr%3D8-20-spons%26psc%3D1&qualifier=1627732036&id=4647622056673503&widgetName=sp_btf
"EXCITRUS USB C Fast Charger 30W, High Speed USB C Charger, iPhone 12 Charger Adapter with 4FT MFI Certified C to Lightning Cable, Compatible with iPhone 12 Pro/Mini/Pro Max, iPad Pro, MacBook Pro/Air",$133.95,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02439411WRKGBQDMLL1W&url=%2FEXCITRUS-Charger-Certified-Lightning-Compatible%2Fdp%2FB08T1Z7K9V%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732125%26sr%3D8-17-spons%26psc%3D1&qualifier=1627732125&id=5346754146347231&widgetName=sp_atf_next
"mophie - Universal 3 in 1 Wireless Charging Stand - 7.5W Wireless Charging Stand for iPhone, AirPods Pro/AirPods, and Apple Watch - Black",$159.99,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00000269HFQB8A2S4UC&url=%2Fmophie-Universal-Wireless-Charging-AirPods%2Fdp%2FB08NTVQ8HZ%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732125%26sr%3D8-18-spons%26psc%3D1&qualifier=1627732125&id=5346754146347231&widgetName=sp_atf_next
Apple iPhone 7 Plus 32GB (GSM Unlocked) 5.5-inch 12MP iOS Smartphone - Black (Refurbished),$199.99,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-Unlocked-5-5-inch-Smartphone/dp/B01NC3GG6Y/ref=sr_1_19?dchild=1&keywords=iphone&qid=1627732125&sr=8-19
"(Renewed) Apple iPhone 8 Plus, 64GB, Space Gray - For AT&T / T-Mobile",$385.00,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-Plus-Unlocked-64GB/dp/B0775FLHPN/ref=sr_1_20?dchild=1&keywords=iphone&qid=1627732125&sr=8-20
"(Renewed) Apple iPhone XS Max, US Version, 64GB, Space Gray - Unlocked",$349.00,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-XS-Max-Unlocked/dp/B07K8RNW7H/ref=sr_1_21?dchild=1&keywords=iphone&qid=1627732125&sr=8-21
"Apple iPhone SE, 16GB Factory Unlocked - Gold - 1st Gen 2016",$499.00,4.5 out of 5 stars,https://www.amazon.com/Apple-iPhone-16GB-Factory-Unlocked/dp/B0979KD57W/ref=sr_1_22?dchild=1&keywords=iphone&qid=1627732125&sr=8-22
"(Refurbished) Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked",$139.99,4.2 out of 5 stars,https://www.amazon.com/Apple-iPhone-256GB-Unlocked-Renewed/dp/B07ZQRL9XY/ref=sr_1_23?dchild=1&keywords=iphone&qid=1627732125&sr=8-23
"(Renewed) Apple iPhone 8 Plus, US Version, 64GB, Red - Unlocked",$379.99,4.3 out of 5 stars,https://www.amazon.com/Apple-iPhone-Plus-Fully-Unlocked/dp/B07C6KQT66/ref=sr_1_24?dchild=1&keywords=iphone&qid=1627732125&sr=8-24
"Apple iPhone 12 Pro Max, 128GB, Gold - Fully Unlocked (Renewed)","$1,250.00",4.1 out of 5 stars,https://www.amazon.com/Apple-iPhone-Pro-128GB-Gold/dp/B08PL87YMK/ref=sr_1_25?dchild=1&keywords=iphone&qid=1627732125&sr=8-25
"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 256GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Black",$404.99,4.2 out of 5 stars,https://www.amazon.com/Samsung-Unlocked-Smartphone-Pro-Grade-SM-G998UZKEXAA/dp/B08P54F6HB/ref=sr_1_26?dchild=1&keywords=iphone&qid=1627732125&sr=8-26
"Samsung Galaxy A10s A107, International Version (No US Warranty), 32GB 2GB RAM, Blue - GSM Unlocked",$10.99,4.4 out of 5 stars,https://www.amazon.com/Samsung-Infinity-V-Digitel-Factory-Unlocked/dp/B07S6BW625/ref=sr_1_27?dchild=1&keywords=iphone&qid=1627732125&sr=8-27
"Unlocked Smartphones Ulefone Note 9P (2020) Android 10 Unlocked Cell phones, Triple Rear Camera Triple Card Slots, 6.52"" Waterdrop Full-Screen Dual SIM Phones, 4500mAh Global Bands, US Version - Green",$300.00,4.4 out of 5 stars,https://www.amazon.com/Smartphones-Ulefone-Note-9P-Full-Screen/dp/B08BBXK6RQ/ref=sr_1_28?dchild=1&keywords=iphone&qid=1627732125&sr=8-28
"Samsung Galaxy A02 SM-A022M/DS, 4G LTE, International Version (No US Warranty), 64GB, 3GB, Black - GSM Unlocked (At&t Tmobile Metro Latin Europe)",$28.99,5.0 out of 5 stars,https://www.amazon.com/Samsung-SM-A022M-International-Version-Warranty/dp/B08X191MR8/ref=sr_1_29?dchild=1&keywords=iphone&qid=1627732125&sr=8-29
Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,$115.37,4.1 out of 5 stars,https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_30?dchild=1&keywords=iphone&qid=1627732125&sr=8-30
something wrong,something wrong,something wrong,https://www.amazon.com/OnePlus-Glacial-Unlocked-Android-Smartphone/dp/B08723759H/ref=sr_1_31?dchild=1&keywords=iphone&qid=1627732125&sr=8-31
OnePlus Nord N10 5G Dual-SIM 128GB ROM + 6GB RAM (GSM | CDMA) Factory Unlocked Anroid Smartphone (Midnight Ice) - International Version,$25.99,3.9 out of 5 stars,https://www.amazon.com/OnePlus-Dual-SIM-Unlocked-Smartphone-Midnight/dp/B07XY8YFQQ/ref=sr_1_32?dchild=1&keywords=iphone&qid=1627732125&sr=8-32
"i12 Pro MAX Unlocked Smartphone, 6.26in HD Bang Screen Mobile Phone, 1+8G Dual Sim Cell Phone for Android 10.0 Gold(US)",Currently unavailable.,4.5 out of 5 stars,https://www.amazon.com/Unlocked-Smartphone-6-26in-Screen-Android/dp/B08RZ4D19Y/ref=sr_1_33?dchild=1&keywords=iphone&qid=1627732125&sr=8-33
"i12 Pro MAX Unlocked Smartphone, 6.7in HD Bang Screen Mobile Phone, 1+8G Dual Sim Cell Phone Support 128G Memory Card for Android 6.0 Black(US)",$719.00,4.4 out of 5 stars,https://www.amazon.com/Unlocked-Smartphone-Screen-Support-Android/dp/B08RZ43CYV/ref=sr_1_34?dchild=1&keywords=iphone&qid=1627732125&sr=8-34
"USB Flash Drive for iPhone Photo Stick 1TB Memory Stick USB 3.0 Flash Drive Memory Stick for Phone and Computers (1TB, Pink)",$329.00,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03055091JA95VA7W1UH8&url=%2FFlash-Drive-iPhone-Memory-Computers%2Fdp%2FB08YWMPYTH%2Fref%3Dsr_1_35_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732125%26sr%3D8-35-spons%26psc%3D1&qualifier=1627732125&id=5346754146347231&widgetName=sp_btf
"10"" Ring Light with Tripod Stand Selife Ring Light with Phone&iPad Holder Dimmable LED Ring Light with Desktop Portable Tripod for Vlog, Photography, Makeup, Live Stream Compatible for iPhone Android",Currently unavailable.,3.8 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05240282M8YMX0GV8Z6L&url=%2FDimmable-Desktop-Portable-Photography-Compatible%2Fdp%2FB08L9F9CFN%2Fref%3Dsr_1_36_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732125%26sr%3D8-36-spons%26psc%3D1&qualifier=1627732125&id=5346754146347231&widgetName=sp_btf
TracFone iPhone XR 4G LTE Prepaid Smartphone (Locked) - Black - 64GB - Sim Card Included - CDMA,Currently unavailable.,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00189651TJ8AWDPOABUK&url=%2FTracFone-iPhone-Prepaid-Smartphone-Locked%2Fdp%2FB08WJNJQYW%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732270%26sr%3D8-33-spons%26psc%3D1&qualifier=1627732270&id=7012253040511250&widgetName=sp_atf_next
TracFone iPhone SE 2nd Generation 4G LTE Prepaid Smartphone (Locked) - Black - 64GB - Sim Card Included - CDMA,$133.95,4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A001924531B1XIJEDKYG6&url=%2FTracFone-iPhone-Generation-Prepaid-Smartphone%2Fdp%2FB08WJNNXSM%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732270%26sr%3D8-34-spons%26psc%3D1&qualifier=1627732270&id=7012253040511250&widgetName=sp_atf_next
"i12 Pro MAX Unlocked Smartphone, 6.7in HD Bang Screen Mobile Phone, 1+8G Dual Sim Cell Phone Support 128G Memory Card for Android 6.0 Black(US)",$159.99,4.5 out of 5 stars,https://www.amazon.com/Unlocked-Smartphone-Screen-Support-Android/dp/B08RZ43CYV/ref=sr_1_35?dchild=1&keywords=iphone&qid=1627732270&sr=8-35
"Sony Xperia XZ2 Premium Unlocked Smartphone - Dual SIM - 5.8"" 4K HDR Screen - 64GB - Chrome Black (US Warranty)",$199.99,4.5 out of 5 stars,https://www.amazon.com/Sony-Xperia-Premium-Unlocked-Smartphone/dp/B07DF9R73K/ref=sr_1_36?dchild=1&keywords=iphone&qid=1627732270&sr=8-36
HTC Desire 21 Pro 5G 128GB 8G RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version - Blue,$570.00,4.5 out of 5 stars,https://www.amazon.com/HTC-Desire-128GB-Factory-Unlocked/dp/B0924YDKNY/ref=sr_1_37?dchild=1&keywords=iphone&qid=1627732270&sr=8-37
"OUKITEL-WP8-Pro Smartphone Fingerprint Rugged Phones - 6.49”Display, 4GB 64GB Dual SIM IP68 Waterproof Unlocked Cell Phones, 16MP Triple Camera Face ID, GPS NFC,US Version Orange",$349.00,4.5 out of 5 stars,https://www.amazon.com/OUKITEL-WP8-Pro-Smartphone-Fingerprint-Rugged-Phones/dp/B08KVYR2D1/ref=sr_1_38?dchild=1&keywords=iphone&qid=1627732270&sr=8-38
Asus ROG Phone 5 ZS673KS / I005DA 5G Dual 256GB 12GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Tencent Games Google Play Installed - Phantom Black,"$1,250.00",4.1 out of 5 stars,https://www.amazon.com/Phone-ZS673KS-I005DA-Factory-Unlocked/dp/B093CT5D77/ref=sr_1_39?dchild=1&keywords=iphone&qid=1627732270&sr=8-39
Nokia X20 5G Dual 128GB 8GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) International Version - Nordic Blue,$197.99,4.4 out of 5 stars,https://www.amazon.com/Nokia-Dual-128GB-Factory-Unlocked/dp/B095M9SKC7/ref=sr_1_40?dchild=1&keywords=iphone&qid=1627732270&sr=8-40
Huawei P9 Lite 16GB VNS-L21 Dual-SIM Factory Unlocked Smartphone - International Version with No Warranty (White),$734.00,4.3 out of 5 stars,https://www.amazon.com/Huawei-P9-Lite-Dual-SIM-Smartphone/dp/B01DYN5OLE/ref=sr_1_41?dchild=1&keywords=iphone&qid=1627732270&sr=8-41
"Samsung Galaxy A02s (A025M) 64GB Dual SIM, GSM Unlocked, (CDMA Verizon/Sprint Not Supported) Smartphone Latin American Version No Warranty (Blue)","$1,350.00",4.3 out of 5 stars,https://www.amazon.com/A025M-Unlocked-Supported-Smartphone-American/dp/B08SBQDB4X/ref=sr_1_42?dchild=1&keywords=iphone&qid=1627732270&sr=8-42
"WP7 Rugged Smartphone, 2021 Night Vision Camera 6GB + 128GB Helio P90 Waterproof Unlocked Android 10 Cell Phone 6.53'' FHD+ Global 4G LTE Dual SIM, IP68 Triple Cameras NFC AI Cellphone (6+128 Black)",$117.99,4.2 out of 5 stars,https://www.amazon.com/Smartphone-Waterproof-Unlocked-Android-Cellphone/dp/B08RBHHHY3/ref=sr_1_43?dchild=1&keywords=iphone&qid=1627732270&sr=8-43
"Apple iPhone XS, US Version, 64GB, Space Gray for Verizon (Renewed)",$9.99,4.4 out of 5 stars,https://www.amazon.com/Apple-iPhone-Xs-64GB-Unlocked/dp/B07K8RQVHF/ref=sr_1_44?dchild=1&keywords=iphone&qid=1627732270&sr=8-44
"Xiaomi Poco X3 NFC 64GB, 6GB RAM, 5160mAh (typ) Large Battery, 6.67"" DotDisplay, QUALCOMM Snapdragon GSM LTE Factory Unlocked Smartphone - International Version (Cobalt Blue)",$193.00,4.4 out of 5 stars,https://www.amazon.com/Xiaomi-DotDisplay-QUALCOMM-Snapdragon-Smartphone/dp/B08B99D7FJ/ref=sr_1_45?dchild=1&keywords=iphone&qid=1627732270&sr=8-45
"OUKITEL C21 Unlocked Cell Phones 2021,Android 10.0 6.4” Dual SIM Unlocked Smartphones 4G,4GB+64GB 4000mAh Battery 20MP Front+Four Rear Cameras Helio P60 T-Mobile AT&T Unlocked Mobile Phones,Blue",$719.00,4.4 out of 5 stars,https://www.amazon.com/OUKITEL-C21-Unlocked-Smartphones-T-Mobile/dp/B0963Q95GR/ref=sr_1_46?dchild=1&keywords=iphone&qid=1627732270&sr=8-46
"UMIDIGI Bison Rugged Unlocked Cell Phones 8+128GB, IP68 & IP69K Rating Waterproof and Dustproof Smartphone, 6.3"" FHD+ Full Screen Cell Phone with 5000mAh Battery and 48MP Quad Camera",Currently unavailable.,3.3 out of 5 stars,https://www.amazon.com/UMIDIGI-Unlocked-Waterproof-Dustproof-Smartphone/dp/B09375Y36L/ref=sr_1_47?dchild=1&keywords=iphone&qid=1627732270&sr=8-47
Huawei P40 Lite Dual SIM 4G JNY-LX2 128GB 6GB RAM International Version - Midnight Black,$294.00,4.5 out of 5 stars,https://www.amazon.com/Huawei-JNY-LX2-128GB-International-Version/dp/B086BZB99Y/ref=sr_1_48?dchild=1&keywords=iphone&qid=1627732270&sr=8-48
Asus ROG Phone 5 ZS673KS / I005DA 5G Dual 128GB 8GB RAM GSM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Tencent Games with Google Play - Black,$133.95,4.2 out of 5 stars,https://www.amazon.com/Phone-ZS673KS-I005DA-Factory-Unlocked/dp/B08D3MHBTN/ref=sr_1_49?dchild=1&keywords=iphone&qid=1627732270&sr=8-49
LG Velvet (5G) 128GB (6.8 inch) Display 48MP Triple Camera LM-G900TM (T-Mobile/Sprint Unlocked) Phone - Aurora Grey (Renewed),$159.99,4.5 out of 5 stars,https://www.amazon.com/LG-Display-LM-G900TM-T-Mobile-Unlocked/dp/B094GRYH7V/ref=sr_1_50?dchild=1&keywords=iphone&qid=1627732270&sr=8-50
"EXCITRUS USB C Fast Charger 30W, High Speed USB C Charger, iPhone 12 Charger Adapter with 4FT MFI Certified C to Lightning Cable, Compatible with iPhone 12 Pro/Mini/Pro Max, iPad Pro, MacBook Pro/Air",$199.99,4.5 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02439411WRKGBQDMLL1W&url=%2FEXCITRUS-Charger-Certified-Lightning-Compatible%2Fdp%2FB08T1Z7K9V%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Diphone%26qid%3D1627732270%26sr%3D8-51-spons%26psc%3D1&qualifier=1627732270&id=7012253040511250&widgetName=sp_btf
